,z_value
0,1.0000001e-05
1,1.0000001e-05
2,1.0000001e-05
3,1.0000001e-05
4,1.0000001e-05
5,1.0000001e-05
6,1.0000001e-05
7,1.0000001e-05
8,1.0000001e-05
9,1.0000001e-05
10,1.0000001e-05
11,1.0000001e-05
12,1.0000001e-05
13,1.0000001e-05
14,1.0000001e-05
15,1.0000001e-05
16,1.0000001e-05
17,1.0000001e-05
18,1.0000001e-05
19,1.0000001e-05
20,1.0000001e-05
21,1.0000001e-05
22,1.0000001e-05
23,1.0000001e-05
24,1.0000001e-05
25,1.0000001e-05
26,1.0000001e-05
27,1.0000001e-05
28,1.0000001e-05
29,1.0000001e-05
30,1.0000001e-05
31,1.0000001e-05
32,1.0000001e-05
33,1.0000001e-05
34,1.0000001e-05
35,1.0000001e-05
36,1.0000001e-05
37,1.0000001e-05
38,1.0000001e-05
39,1.0000001e-05
40,1.0000001e-05
41,1.0000001e-05
42,1.0000001e-05
43,1.0000001e-05
44,1.0000001e-05
45,1.0000001e-05
46,1.0000001e-05
47,1.0000001e-05
48,1.0000001e-05
49,1.0000001e-05
50,1.0000001e-05
51,1.0000001e-05
52,1.0000001e-05
53,1.0000001e-05
54,1.0000001e-05
55,1.0000001e-05
56,1.0000001e-05
57,1.0000001e-05
58,1.0000001e-05
59,1.0000001e-05
60,1.0000001e-05
61,1.0000001e-05
62,1.0000001e-05
63,1.0000001e-05
64,1.0000001e-05
65,1.0000001e-05
66,1.0000001e-05
67,1.0000001e-05
68,1.0000001e-05
69,1.0000001e-05
70,1.0000001e-05
71,1.0000001e-05
72,1.0000001e-05
73,1.0000001e-05
74,1.0000001e-05
75,1.0000001e-05
76,1.0000001e-05
77,1.0000001e-05
78,1.0000001e-05
79,1.0000001e-05
80,1.0000001e-05
81,1.0000001e-05
82,1.0000001e-05
83,1.0000001e-05
84,1.0000001e-05
85,1.0000001e-05
86,1.0000001e-05
87,1.0000001e-05
88,1.0000001e-05
89,1.0000001e-05
90,1.0000001e-05
91,1.0000001e-05
92,1.0000001e-05
93,1.0000001e-05
94,1.0000001e-05
95,1.0000001e-05
96,1.0000001e-05
97,1.0000001e-05
98,1.0000001e-05
99,1.0000001e-05
100,1.0000001e-05
101,1.0000001e-05
102,1.0000001e-05
103,1.0000001e-05
104,1.0000001e-05
105,1.0000001e-05
106,1.0000001e-05
107,1.0000001e-05
108,1.0000001e-05
109,1.0000001e-05
110,1.0000001e-05
111,1.0000001e-05
112,1.0000001e-05
113,1.0000001e-05
114,1.0000001e-05
115,1.0000001e-05
116,1.0000001e-05
117,1.0000001e-05
118,1.0000001e-05
119,1.0000001e-05
120,1.0000001e-05
121,1.0000001e-05
122,1.0000001e-05
123,1.0000001e-05
124,1.0000001e-05
125,1.0000001e-05
126,1.0000001e-05
127,1.0000001e-05
128,1.0000001e-05
129,1.0000001e-05
130,1.0000001e-05
131,1.0000001e-05
132,1.0000001e-05
133,1.0000001e-05
134,1.0000001e-05
135,1.0000001e-05
136,1.0000001e-05
137,1.0000001e-05
138,1.0000001e-05
139,1.0000001e-05
140,1.0000001e-05
141,1.0000001e-05
142,1.0000001e-05
143,1.0000001e-05
144,1.0000001e-05
145,1.0000001e-05
146,1.0000001e-05
147,1.0000001e-05
148,1.0000001e-05
149,1.0000001e-05
150,1.0000001e-05
151,1.0000001e-05
152,1.0000001e-05
153,1.0000001e-05
154,1.0000001e-05
155,1.0000001e-05
156,1.0000001e-05
157,1.0000001e-05
158,1.0000001e-05
159,1.0000001e-05
160,1.0000001e-05
161,1.0000001e-05
162,1.0000001e-05
163,1.0000001e-05
164,1.0000001e-05
165,1.0000001e-05
166,1.0000001e-05
167,1.0000001e-05
168,1.0000001e-05
169,1.0000001e-05
170,1.0000001e-05
171,1.0000001e-05
172,1.0000001e-05
173,1.0000001e-05
174,1.0000001e-05
175,1.0000001e-05
176,1.0000001e-05
177,1.0000001e-05
178,1.0000001e-05
179,1.0000001e-05
180,1.0000001e-05
181,1.0000001e-05
182,1.0000001e-05
183,1.0000001e-05
184,1.0000001e-05
185,1.0000001e-05
186,1.0000001e-05
187,1.0000001e-05
188,1.0000001e-05
189,1.0000001e-05
190,1.0000001e-05
191,1.0000001e-05
192,1.0000001e-05
193,1.0000001e-05
194,1.0000001e-05
195,1.0000001e-05
196,1.0000001e-05
197,1.0000001e-05
198,1.0000001e-05
199,1.0000001e-05
200,1.0000001e-05
201,1.0000001e-05
202,1.0000001e-05
203,1.0000001e-05
204,1.0000001e-05
205,1.0000001e-05
206,1.0000001e-05
207,1.0000001e-05
208,1.0000001e-05
209,1.0000001e-05
210,1.0000001e-05
211,1.0000001e-05
212,1.0000001e-05
213,1.0000001e-05
214,1.0000001e-05
215,1.0000001e-05
216,1.0000001e-05
217,1.0000001e-05
218,1.0000001e-05
219,1.0000001e-05
220,1.0000001e-05
221,1.0000001e-05
222,1.0000001e-05
223,1.0000001e-05
224,1.0000001e-05
225,1.0000001e-05
226,1.0000001e-05
227,1.0000001e-05
228,1.0000001e-05
229,1.0000001e-05
230,1.0000001e-05
231,1.0000001e-05
232,1.0000001e-05
233,1.0000001e-05
234,1.0000001e-05
235,1.0000001e-05
236,1.0000001e-05
237,1.0000001e-05
238,1.0000001e-05
239,1.0000001e-05
240,1.0000001e-05
241,1.0000001e-05
242,1.0000001e-05
243,1.0000001e-05
244,1.0000001e-05
245,1.0000001e-05
246,1.0000001e-05
247,1.0000001e-05
248,1.0000001e-05
249,1.0000001e-05
250,1.0000001e-05
251,1.0000001e-05
252,1.0000001e-05
253,1.0000001e-05
254,1.0000001e-05
255,1.0000001e-05
256,1.0000001e-05
257,1.0000001e-05
258,1.0000001e-05
259,1.0000001e-05
260,1.0000001e-05
261,1.0000001e-05
262,1.0000001e-05
263,1.0000001e-05
264,1.0000001e-05
265,1.0000001e-05
266,1.0000001e-05
267,1.0000001e-05
268,1.0000001e-05
269,1.0000001e-05
270,1.0000001e-05
271,1.0000001e-05
272,0.00657655797549
273,0.00332646701794
274,0.00450996491576
275,1.0000001e-05
276,1.0000001e-05
277,1.0000001e-05
278,1.0000001e-05
279,1.0000001e-05
280,1.0000001e-05
281,1.0000001e-05
282,1.0000001e-05
283,1.0000001e-05
284,1.0000001e-05
285,1.0000001e-05
286,1.0000001e-05
287,1.0000001e-05
288,1.0000001e-05
289,1.0000001e-05
290,1.0000001e-05
291,1.0000001e-05
292,1.0000001e-05
293,1.0000001e-05
294,1.0000001e-05
295,1.0000001e-05
296,1.0000001e-05
297,1.0000001e-05
298,1.0000001e-05
299,1.0000001e-05
300,1.0000001e-05
301,1.0000001e-05
302,1.0000001e-05
