,Unnamed: 0,time,discharge,time_diff,discharge_cmm,discharge_vol,cum_discharge_vol,time_min
0,0,120.0,1.50000016674e-05,120.0,0.000900000100044,0.00180000020009,0.00180000020009,2
1,1,240.0,0.00297800000169,120.0,0.178680000101,0.357360000203,0.359160000403,4
2,2,333.411816405,0.00839212885923,93.411816405,0.503527731554,0.783924000245,1.14308400065,5
3,3,403.358434262,0.0171970735292,69.946617857,1.03182441175,1.20287713041,2.34596113105,6
4,4,459.405869027,0.0287219677152,56.047434765,1.72331806291,1.60979261184,3.95575374289,7
5,5,506.711294365,0.0426964597083,47.305425338,2.5617875825,2.01977418693,5.97552792982,8
6,6,547.618708438,0.0598095216284,40.907414073,3.5885712977,2.44665286676,8.42218079658,9
8,8,616.852185626,0.102271688115,32.84846519,6.1363012869,3.35946798697,14.6721459094,10
10,10,675.048529543,0.152793259263,28.05316175,9.16759555578,4.28633401641,22.8121054274,11
12,12,726.44177367,0.207730428814,24.999474496,12.4638257288,5.19315155718,32.7387283483,12
15,15,795.054887449,0.30355143914,21.978867269,18.2130863484,6.67171679017,51.2439807952,13
18,18,856.855248086,0.412825298566,19.983192541,24.769517914,8.24956742704,74.394206832,14
21,21,913.945347969,0.53377875226,18.614395427,32.0267251356,9.9359687651,102.493924587,15
24,24,967.452101945,0.669535509857,17.470202781,40.1721305914,11.6969211263,135.808551755,16
28,28,1034.10276794,0.869855354535,16.22895994,52.1913212721,14.1168477023,188.656146734,17
31,31,1081.34882266,1.02460807429,15.52684137,61.4764844574,15.9089270359,234.60378461,18
35,35,1141.25276135,1.24230546651,14.61609734,74.5383279906,18.1576576245,303.91123339,19
40,40,1211.14934038,1.51043969559,13.58782503,90.6263817354,20.523590302,402.062315675,20
44,44,1263.8358517,1.68585377387,12.94126843,101.151226432,21.8170862214,487.603664677,21
49,49,1326.56939594,1.83753569169,12.3060545,110.252141501,22.6128143676,599.405558589,22
54,54,1386.53529042,1.91987651347,11.8009626,115.192590808,22.6563909321,712.894272234,23
59,59,1444.32861132,1.92990577849,11.40973396,115.794346709,22.0197115004,824.464991186,24
64,64,1500.41769415,1.89648885286,11.10043075,113.789331172,21.0518431793,931.72682208,25
70,70,1566.01338228,1.84349729121,10.82359249,110.609837473,19.9532634365,1054.09909563,26
76,76,1630.23064859,1.8004419091,10.62478933,108.026514546,19.1293159851,1170.86587086,27
81,81,1682.97932227,1.77799080332,10.50394882,106.679448199,18.6759244005,1265.04358319,28
87,87,1745.58868046,1.78564178578,10.39035121,107.138507147,18.5534452895,1376.38834636,29
93,93,1807.60576743,1.84477001271,10.29906739,110.686200763,18.99941068,1488.95953876,30
99,99,1869.09891511,1.96220240851,10.21434404,117.732144511,20.0426104766,1606.30155083,31
105,105,1930.09989108,2.13614813301,10.13381923,128.168887981,21.6473390284,1731.89938702,32
110,110,1980.51480656,2.32666174552,10.03228979,139.599704731,23.3417448744,1845.10467853,33
116,116,2040.00077305,2.60461981191,9.83831073,156.277188715,25.6250590431,1993.09967967,34
123,123,2107.88782715,2.97725055075,9.58244257,178.635033045,28.5293324191,2183.94311646,35
129,129,2164.55024768,3.33146267907,9.34337476,199.887760744,31.1271043095,2364.17523128,36
136,136,2228.84289965,3.7693105562,9.06366524,226.158633372,34.163769067,2594.2236783,37
