,Unnamed: 0,time,discharge,discharge_cmm,time_min
0,0,60.0,3.00000029991e-05,0.00180000017995,1
5,5,127.750650125,0.450575995049,27.0345597029,2
12,12,183.234421639,1.50940711726,90.5644270356,3
21,21,240.240851469,2.54490377888,152.694226733,4
32,32,303.342928101,3.23672254724,194.203352834,5
43,43,363.908115856,3.54045027185,212.427016311,6
54,54,423.53370374,3.66734629868,220.040777921,7
65,65,482.793854755,3.71842030673,223.105218404,8
76,76,541.912305452,3.73825847153,224.295508292,9
87,87,600.976887477,3.74573606473,224.744163884,10
98,98,660.021432372,3.74848879613,224.909327768,11
110,110,724.425516603,3.74953357051,224.972014231,12
121,121,783.459989428,3.74985669828,224.991401897,13
132,132,842.493612473,3.74997072865,224.998243719,14
143,143,901.526936451,3.75001067674,225.000640604,15
154,154,960.56015586,3.75002459512,225.001475707,16
166,166,1024.95999108,3.75002965918,225.001779551,17
177,177,1083.99316088,3.75003117519,225.001870511,18
188,188,1143.02632673,3.7500316977,225.001901862,19
199,199,1202.05949123,3.75003187712,225.001912627,20
210,210,1261.09265525,3.75003193828,225.001916297,21
221,221,1320.12581912,3.75003195877,225.001917526,22
233,233,1384.52563419,3.75003196557,225.001917934,23
244,244,1443.55879798,3.75003196706,225.001918024,24
255,255,1502.59196178,3.75003196709,225.001918025,25
266,266,1561.62512558,3.7500319666,225.001917996,26
277,277,1620.65828938,3.75003196597,225.001917958,27
289,289,1685.05810443,3.75003196522,225.001917913,28
300,300,1744.09126824,3.75003196452,225.001917871,29
311,311,1803.12443205,3.75003196385,225.001917831,30
322,322,1862.15759586,3.75003196317,225.00191779,31
333,333,1921.19075967,3.75003196252,225.001917751,32
344,344,1980.22392349,3.75003196187,225.001917712,33
356,356,2044.62373857,3.75003196118,225.001917671,34
367,367,2103.65690239,3.75003196057,225.001917634,35
378,378,2162.69006622,3.75003195996,225.001917598,36
389,389,2221.72323004,3.75003195937,225.001917562,37
400,400,2280.75639387,3.75003195879,225.001917527,38
412,412,2345.15620897,3.75003195817,225.00191749,39
423,423,2404.1893728,3.75003195762,225.001917457,40
434,434,2463.22253664,3.75003195707,225.001917424,41
445,445,2522.25570048,3.75003195654,225.001917392,42
456,456,2581.28886432,3.75003195602,225.001917361,43
467,467,2640.32202817,3.75003195551,225.001917331,44
479,479,2704.72184327,3.75003195497,225.001917298,45
490,490,2763.75500712,3.75003195447,225.001917268,46
501,501,2822.78817097,3.750031954,225.00191724,47
512,512,2881.82133483,3.75003195353,225.001917212,48
523,523,2940.85449868,3.75003195307,225.001917184,49
535,535,3005.2543138,3.75003195258,225.001917155,50
546,546,3064.28747766,3.75003195214,225.001917128,51
557,557,3123.32064152,3.75003195171,225.001917103,52
568,568,3182.35380539,3.75003195128,225.001917077,53
579,579,3241.38696925,3.75003195087,225.001917052,54
590,590,3300.42013312,3.75003195047,225.001917028,55
602,602,3364.81994825,3.75003195003,225.001917002,56
613,613,3423.85311212,3.75003194965,225.001916979,57
624,624,3482.88627599,3.75003194927,225.001916956,58
635,635,3541.91943987,3.7500319489,225.001916934,59
646,646,3600.95260374,3.75003194853,225.001916912,60
