,z_value
0,1.0000001e-05
1,1.0000001e-05
2,1.0000001e-05
3,1.0000001e-05
4,1.0000001e-05
5,1.0000001e-05
6,1.0000001e-05
7,1.0000001e-05
8,0.0179199784972
9,0.0135835437712
10,0.0132540146762
11,0.0125435495588
12,0.0104656859136
13,1.0000001e-05
14,1.0000001e-05
15,0.0592215811191
16,0.0327444890934
17,0.029387074761
18,0.0254589530238
19,0.0186881921767
20,1.0000001e-05
21,1.0000001e-05
22,0.127460341303
23,0.103106084936
24,0.0835179712494
25,0.0615920763017
26,0.0366702664628
27,1.0000001e-05
28,1.0000001e-05
29,0.0592215811191
30,0.0327444890934
31,0.029387074761
32,0.0254589530238
33,0.0186881921767
34,1.0000001e-05
35,1.0000001e-05
36,0.0179199784972
37,0.0135835437712
38,0.0132540146762
39,0.0125435495588
40,0.0104656859136
41,1.0000001e-05
42,1.0000001e-05
43,1.0000001e-05
44,1.0000001e-05
45,1.0000001e-05
46,1.0000001e-05
47,1.0000001e-05
48,1.0000001e-05
