,Unnamed: 0,time,discharge,discharge_cmm,time_min
0,0,60.0,3.00000029991e-05,0.00180000017995,1
1,1,120.0,0.0300420000042,1.80252000025,2
3,3,196.784373651,0.215022143819,12.9013286291,3
5,5,248.252422366,0.603152988898,36.1891793339,4
8,8,305.165667411,1.59593408074,95.7560448444,5
12,12,363.601050096,3.30073929404,198.044357642,6
17,17,425.112579092,4.96289703773,297.773822264,7
22,22,484.008743915,4.87509050521,292.505430313,8
27,27,543.7801619,4.62796328559,277.677797135,9
32,32,604.914127887,4.29766643617,257.85998617,10
37,37,667.536785894,4.01497334568,240.898400741,11
42,42,731.328885131,3.83391624971,230.034974983,12
46,46,782.880283962,3.75641745363,225.385047218,13
51,51,847.61984167,3.71735718701,223.041431221,14
56,56,912.447478127,3.71385616984,222.83137019,15
60,60,964.29011919,3.7211905683,223.271434098,16
65,65,1029.03293308,3.73318766343,223.991259806,17
69,69,1080.78107785,3.74120139142,224.472083485,18
74,74,1145.42554008,3.74780401386,224.868240832,19
79,79,1210.04460983,3.75089723585,225.053834151,20
83,83,1261.73225372,3.75175252146,225.105151288,21
88,88,1326.34021875,3.75175864236,225.105518542,22
93,93,1390.95046914,3.75117575461,225.070545277,23
97,97,1442.6410027,3.75072457606,225.043474564,24
102,102,1507.25665263,3.75034745084,225.02084705,25
107,107,1571.87420755,3.75004442456,225.002665474,26
111,111,1623.56891775,3.74995118012,224.997070807,27
116,116,1688.18758477,3.74997237369,224.998342421,28
121,121,1752.80632081,3.74993255165,224.995953099,29
125,125,1804.50118798,3.74995431579,224.997258947,30
130,130,1869.11960244,3.75003353771,225.002012263,31
134,134,1920.81427002,3.75004820192,225.002892115,32
139,139,1985.43256603,3.75000510726,225.000306436,33
144,144,2050.05076244,3.75006310465,225.003786279,34
148,148,2101.74533598,3.75006371102,225.003822661,35
153,153,2166.36358569,3.75000910469,225.000546281,36
158,158,2230.98178056,3.75006155458,225.003693275,37
162,162,2282.67636627,3.75006064659,225.003638795,38
167,167,2347.29463398,3.75000611672,225.000367003,39
172,172,2411.91284298,3.7500594944,225.003569664,40
176,176,2463.60743585,3.75005937965,225.003562779,41
181,181,2528.22570807,3.75000560828,225.000336497,42
186,186,2592.84391834,3.75005942522,225.003565513,43
190,190,2644.538511,3.75005947505,225.003568503,44
195,195,2709.15678242,3.75000576145,225.000345687,45
199,199,2760.85137469,3.75000578665,225.000347199,46
204,204,2825.46958405,3.75005956572,225.003573943,47
209,209,2890.08785511,3.75000580734,225.00034844,48
213,213,2941.78244725,3.75000580673,225.000348404,49
218,218,3006.40065655,3.75005956699,225.003574019,50
223,223,3071.01892764,3.75000580113,225.000348068,51
227,227,3122.71351981,3.75000579944,225.000347966,52
232,232,3187.33172916,3.75005956117,225.00357367,53
237,237,3251.95000026,3.75000579762,225.000347857,54
241,241,3303.64459245,3.75000579752,225.000347851,55
246,246,3368.2628018,3.75005956061,225.003573637,56
251,251,3432.88107291,3.75000579774,225.000347864,57
255,255,3484.57566509,3.75000579784,225.00034787,58
260,260,3549.19387444,3.75005956094,225.003573656,59
264,264,3600.88846662,3.75005956098,225.003573659,60
