,time,discharge
0,60.0,3.00000029991e-05
1,81.2045254946,0.848994239689
2,97.2183140552,1.97109769054
3,110.264994,3.64494007966
4,121.343798927,5.95266815526
5,131.02884464,8.91015777338
6,139.600830632,12.851270384
7,147.689849601,15.2933580901
8,155.602272686,16.3403710799
9,163.347259753,17.4232163055
10,170.803529474,19.5265532425
11,177.901634099,22.6340999633
12,184.895727414,23.6589873393
13,191.848801489,24.0801867306
14,198.673828135,25.4611118737
15,205.369672378,26.9633836533
16,212.002909929,27.7340801982
17,218.540262695,28.9724122763
18,225.028737047,29.6321144332
19,231.460264379,30.4262241369
20,237.819954159,31.4689769255
21,244.144776438,31.9922981483
22,250.474113318,31.9238884135
23,256.808545484,31.8469136014
24,263.133977503,31.9830473545
25,269.451818663,32.0984684073
26,275.763376699,32.1944254516
27,282.073142492,32.2218670244
28,288.377646601,32.3026106471
29,294.663569124,32.5899239808
30,300.923595511,32.9960480621
31,307.161992327,33.3404479381
32,313.383931936,33.6057076183
33,319.589967209,33.8647364531
34,325.781287509,34.1067707522
35,331.963130854,34.2638715259
36,338.141532163,34.321169455
37,344.319911795,34.3215307059
38,350.498929933,34.3108919973
39,356.67779609,34.3134238877
40,362.85528894,34.336313436
41,369.0302849,34.3779824568
42,375.201180375,34.4465592591
43,381.366594762,34.5385105121
44,387.525308668,34.6513635337
45,393.676762873,34.7741908549
46,399.82075026,34.9011287333
47,405.95773837,35.0206798964
48,412.088342671,35.1301951515
49,418.213443306,35.2249782414
50,424.333739902,35.3079913848
51,430.449989593,35.3781238883
52,436.562651808,35.4404499285
53,442.672211223,35.4944737126
54,448.77891389,35.5443105236
55,454.883074857,35.5887296977
56,460.984759858,35.6320712956
57,467.08407975,35.6735380823
58,473.180927688,35.7169469494
59,479.275312178,35.7602765586
60,485.367084004,35.806307344
61,491.455956645,35.8574786489
62,497.541830336,35.9105135028
63,503.624781574,35.9622961895
64,509.704779484,36.0147271656
65,515.781726386,36.0689993585
66,521.855671987,36.1224937663
67,527.926867067,36.1716113157
68,533.99560879,36.2154973842
69,540.062154907,36.2548329819
70,546.126704478,36.2906517763
71,552.189430256,36.3234125674
72,558.250472664,36.3536859237
73,564.309947334,36.381910066
74,570.367917522,36.4090228632
75,576.424405458,36.4357614072
76,582.479397203,36.4627779714
77,588.532878034,36.4900874743
78,594.584828358,36.5177789266
79,600.635240313,36.5456409126
80,606.684109262,36.5736153066
81,612.731451608,36.6013204533
82,618.777289941,36.6286429977
83,624.821662689,36.6552936102
84,630.864608547,36.6812654112
85,636.906180147,36.7063024539
86,642.946429997,36.7304043391
87,648.985421488,36.753369939
88,655.023211094,36.7753227227
89,661.059858851,36.7961951551
90,667.095413761,36.8161866208
91,673.129926768,36.8352596826
92,679.163436306,36.8536416098
93,685.195981288,36.8713222473
94,691.227587867,36.8885343597
95,697.258283814,36.9052473219
96,703.288086083,36.9216589558
97,709.317015568,36.9376962775
98,715.345084912,36.9535103724
99,721.372313268,36.9689810612
100,727.398713773,36.9842185268
101,733.424307655,36.9990733343
102,739.449110949,37.0136405303
103,745.473147972,37.0277669742
104,751.496437642,37.0415515946
105,757.519006662,37.0548501748
106,763.540875579,37.0677756733
107,769.562071752,37.0802017388
108,775.582615353,37.0922605015
109,781.602532437,37.1038427263
110,787.621841152,37.1150940815
111,793.640565026,37.1259145759
112,799.658719406,37.1364551947
113,805.676324941,37.1466173616
114,811.693394212,37.1565501937
115,817.709945362,37.166150348
116,823.725988829,37.1755602782
117,829.741541044,37.1846687181
118,835.756611178,37.1936099633
119,841.771214815,37.202264942
120,847.78536064,37.210761384
121,853.799064014,37.2189751861
122,859.812333577,37.2270309525
123,865.825184721,37.2348031182
124,871.837626107,37.2424164566
125,877.849673076,37.2497467537
126,883.861334116,37.2569211447
127,889.872624237,37.2638182384
128,895.883551441,37.2705682037
129,901.8941301,37.2770523812
130,907.904367458,37.2834032403
131,913.914277047,37.2895036775
132,919.923865227,37.2954870388
133,925.933144637,37.3012362978
134,931.942120778,37.306884287
135,937.950805488,37.3123128816
136,943.959203545,37.3176535114
137,949.96732615,37.3227863933
138,955.975177538,37.3278413203
139,961.982768447,37.3326969235
140,967.990102724,37.3374816803
141,973.997190776,37.3420731439
142,980.004036157,37.3465990874
143,986.010649005,37.3509366303
144,992.017032611,37.3552134475
145,998.023196844,37.3593067484
146,1004.02914471,37.3633445119
147,1010.03488578,37.3672043038
148,1016.04042274,37.3710145293
149,1022.0457648,37.3746531045
150,1028.05091429,37.3782487432
151,1034.05588006,37.3816795169
152,1040.06066407,37.3850742032
153,1046.06527481,37.3883107711
154,1052.06971387,37.3915178153
155,1058.0739894,37.3945729931
156,1064.07810268,37.3976045563
157,1070.08206157,37.4004897517
158,1076.08586707,37.4033564478
159,1082.08952678,37.4060814983
160,1088.09304145,37.4087924497
161,1094.09641847,37.4113658594
162,1100.09965839,37.4139290672
163,1106.10276837,37.416358457
164,1112.10574879,37.4187812777
165,1118.10860662,37.4210738417
166,1124.11134203,37.4233633852
167,1130.11396181,37.4255262033
168,1136.11646593,37.4276895464
169,1142.11886099,37.4297296967
170,1148.12114678,37.4317739017
171,1154.12332971,37.4336983997
172,1160.12540938,37.4356303943
173,1166.12739202,37.4374460376
174,1172.12927706,37.4392724472
175,1178.13107056,37.440985654
176,1184.13277178,37.442712663
177,1190.13438662,37.4443293691
178,1196.1359142,37.4459626598
179,1202.13736028,37.4474882997
180,1208.13872384,37.4490330724
181,1214.1400105,37.4504726331
182,1220.14121912,37.4519336846
183,1226.1423552,37.4532917983
184,1232.14341748,37.4546736201
185,1238.14441135,37.4559546591
186,1244.14533542,37.457261521
187,1250.14619498,37.4584696658
188,1256.14698854,37.4597056663
189,1262.14772126,37.4608449368
190,1268.14839156,37.462014016
