,z_value
0,1.0000001e-05
1,1.0000001e-05
2,1.0000001e-05
3,1.0000001e-05
4,1.0000001e-05
5,1.0000001e-05
6,1.0000001e-05
7,1.0000001e-05
8,0.0485905206747
9,0.0408813815115
10,0.0403764386952
11,0.0391755338278
12,0.0344159991524
13,1.0000001e-05
14,1.0000001e-05
15,0.277588026155
16,0.170712292487
17,0.138043499771
18,0.112630182721
19,0.0801347389019
20,1.0000001e-05
21,1.0000001e-05
22,0.427911523208
23,0.398453207036
24,0.337246515792
25,0.259229026545
26,0.161874611379
27,1.0000001e-05
28,1.0000001e-05
29,0.277588026155
30,0.170712292487
31,0.138043499771
32,0.112630182721
33,0.0801347389019
34,1.0000001e-05
35,1.0000001e-05
36,0.0485905206747
37,0.0408813815115
38,0.0403764386952
39,0.0391755338278
40,0.0344159991524
41,1.0000001e-05
42,1.0000001e-05
43,1.0000001e-05
44,1.0000001e-05
45,1.0000001e-05
46,1.0000001e-05
47,1.0000001e-05
48,1.0000001e-05
